city,platform,zone_risk,weekly_hours,past_claims,weather_risk,aqi_risk,tenure_months,trust_score,risk_label
Hyderabad,Swiggy,Medium,43,5,5,9,47,0.42,Medium
Bengaluru,Zomato,Low,38,3,10,5,44,0.99,Medium
Pune,Swiggy,Medium,38,6,7,4,55,0.44,Medium
Pune,Zomato,Low,63,3,2,7,29,0.71,Low
Mumbai,Swiggy,Low,45,5,10,2,48,0.96,Medium
Delhi,Swiggy,Medium,32,2,4,10,55,0.99,Medium
Mumbai,Swiggy,High,66,3,5,10,38,0.56,High
Pune,Zomato,Medium,58,3,8,9,18,0.49,High
Pune,Swiggy,Low,51,3,4,3,2,0.46,Low
Mumbai,Swiggy,Medium,21,1,7,10,44,0.6,Medium
Bengaluru,Swiggy,High,62,6,9,8,51,0.68,High
Bengaluru,Zomato,Medium,36,4,6,9,35,0.41,Medium
Mumbai,Zomato,High,27,3,8,6,55,0.63,Medium
Pune,Swiggy,Low,55,5,5,3,32,0.66,Medium
Bengaluru,Zomato,Medium,27,4,8,9,44,0.72,Medium
Pune,Zomato,Medium,30,4,1,7,17,0.7,Low
Pune,Zomato,High,38,2,1,1,38,0.43,Medium
Bengaluru,Zomato,High,57,0,6,7,7,0.66,Medium
Bengaluru,Zomato,Medium,62,1,4,4,42,0.59,Low
Mumbai,Swiggy,High,27,2,3,1,35,0.6,Low
Pune,Zomato,Medium,77,3,5,1,45,0.68,Medium
Mumbai,Zomato,Medium,44,2,10,2,52,0.69,Medium
Delhi,Zomato,Medium,71,6,6,3,40,0.58,Medium
Pune,Swiggy,Medium,74,6,2,9,14,0.57,Medium
Mumbai,Zomato,High,45,6,4,10,48,0.97,Medium
Hyderabad,Swiggy,Medium,37,0,10,9,31,0.66,Medium
Bengaluru,Swiggy,Medium,39,4,5,7,43,0.72,Medium
Delhi,Zomato,Medium,59,4,8,9,12,0.93,High
Hyderabad,Swiggy,Medium,33,5,8,5,60,0.78,Medium
Hyderabad,Zomato,High,66,5,1,9,13,0.62,Medium
Delhi,Swiggy,Low,63,6,5,7,27,0.59,Medium
Mumbai,Swiggy,High,37,6,5,3,17,0.81,Medium
Delhi,Zomato,Low,29,1,1,4,52,0.9,Low
Pune,Zomato,Medium,47,3,1,4,11,0.56,Low
Mumbai,Zomato,High,37,5,9,3,42,0.91,Medium
Pune,Swiggy,Low,77,0,6,10,20,0.92,Medium
Pune,Zomato,Medium,76,0,7,3,16,0.47,Medium
Hyderabad,Swiggy,Medium,73,4,9,5,32,0.93,Medium
Delhi,Swiggy,High,40,2,10,7,52,0.85,Medium
Delhi,Zomato,Low,26,1,4,5,29,0.65,Low
Hyderabad,Swiggy,Medium,43,5,2,6,35,0.65,Medium
Delhi,Zomato,High,79,1,6,8,46,0.62,Medium
Bengaluru,Swiggy,Medium,77,4,1,1,45,0.95,Medium
Delhi,Zomato,Medium,39,5,6,2,35,0.92,Medium
Pune,Zomato,Low,45,2,5,2,60,0.89,Low
Delhi,Zomato,Low,76,1,8,6,57,0.89,Medium
Pune,Swiggy,Low,25,6,8,8,48,0.65,Medium
Bengaluru,Zomato,High,72,0,3,5,33,0.44,Medium
Pune,Zomato,Medium,21,6,1,3,41,0.67,Low
Delhi,Swiggy,Medium,60,2,6,10,6,0.47,High
Delhi,Swiggy,High,63,3,6,8,31,0.92,High
Delhi,Zomato,Low,57,6,6,5,13,0.45,Medium
Bengaluru,Swiggy,Medium,44,6,10,4,2,0.97,Medium
Hyderabad,Swiggy,High,49,1,5,3,4,0.64,Medium
Pune,Zomato,Low,43,1,10,2,1,0.83,Low
Pune,Zomato,High,51,0,4,4,13,0.97,Low
Bengaluru,Zomato,High,44,1,7,4,39,0.53,Medium
Bengaluru,Swiggy,Medium,46,6,3,1,19,0.99,Low
Delhi,Zomato,High,43,4,8,2,1,0.68,High
Bengaluru,Zomato,Medium,65,3,7,10,17,0.44,Medium
Hyderabad,Swiggy,Low,79,1,8,6,39,0.96,Medium
Hyderabad,Swiggy,Low,52,4,7,5,26,0.8,Medium
Delhi,Swiggy,Medium,36,1,9,8,60,0.6,Medium
Pune,Swiggy,Low,65,4,7,3,17,0.47,Medium
Mumbai,Swiggy,Medium,73,2,6,7,19,0.94,Medium
Bengaluru,Zomato,Medium,47,1,6,8,49,0.97,Medium
Hyderabad,Zomato,Low,29,0,4,3,3,0.68,Low
Delhi,Zomato,Medium,77,3,1,8,23,0.99,Medium
Hyderabad,Zomato,Medium,27,6,3,2,23,0.46,Low
Bengaluru,Swiggy,High,67,4,5,10,58,0.8,High
Delhi,Swiggy,Medium,56,1,7,2,16,0.86,Medium
Mumbai,Zomato,Low,63,5,2,7,24,0.75,Medium
Mumbai,Zomato,Low,25,3,8,8,41,0.97,Medium
Hyderabad,Swiggy,Medium,22,5,10,8,21,0.97,Medium
Hyderabad,Swiggy,Low,23,6,5,6,52,0.43,Medium
Mumbai,Zomato,Low,36,1,4,7,6,0.41,Medium
Delhi,Swiggy,Medium,45,2,3,2,20,0.69,Low
Pune,Zomato,High,58,1,6,2,54,0.62,Medium
Delhi,Zomato,Medium,44,3,5,10,39,0.65,Medium
Pune,Zomato,Medium,47,5,7,2,3,0.71,Medium
Pune,Swiggy,Medium,65,1,8,9,41,0.79,Medium
Mumbai,Zomato,Medium,25,6,8,5,10,0.99,Medium
Bengaluru,Swiggy,Medium,38,4,1,9,5,0.95,Medium
Hyderabad,Swiggy,Medium,46,0,8,10,53,0.55,Medium
Bengaluru,Swiggy,High,21,0,8,3,51,0.51,Medium
Pune,Swiggy,Low,76,5,5,6,38,0.83,Medium
Pune,Zomato,Medium,78,6,3,4,12,0.45,Medium
Hyderabad,Zomato,High,26,3,9,1,1,0.64,Medium
Mumbai,Swiggy,Medium,49,5,7,10,47,0.69,Medium
Hyderabad,Zomato,Medium,64,5,7,5,6,0.48,High
Mumbai,Swiggy,Low,21,5,4,1,14,0.69,Low
Delhi,Swiggy,Medium,60,6,9,4,6,0.58,High
Pune,Swiggy,Medium,21,0,3,3,48,0.82,Low
Pune,Zomato,Low,48,4,4,4,19,0.74,Low
Pune,Swiggy,Medium,26,5,7,7,55,0.7,Medium
Hyderabad,Zomato,Low,45,3,9,10,47,0.77,Medium
Pune,Swiggy,High,53,0,7,10,21,0.73,Medium
Bengaluru,Zomato,High,27,3,10,6,29,0.82,Medium
Mumbai,Swiggy,Low,32,3,6,8,15,0.7,Medium
Hyderabad,Zomato,High,74,6,8,3,57,0.58,High
Pune,Zomato,High,63,5,6,8,52,0.98,High
Delhi,Swiggy,Low,67,0,8,3,12,0.52,Medium
Hyderabad,Zomato,Low,46,3,5,4,14,0.73,Low
Mumbai,Zomato,High,42,5,3,3,53,0.92,Medium
Hyderabad,Swiggy,High,41,3,2,10,15,0.47,Medium
Delhi,Zomato,Low,41,6,6,1,50,0.93,Medium
Bengaluru,Swiggy,High,75,4,10,2,46,0.43,High
Pune,Zomato,High,68,0,2,10,40,0.87,Medium
Mumbai,Swiggy,Medium,30,5,2,4,59,0.62,Low
Bengaluru,Zomato,High,51,5,2,3,42,0.62,Medium
Delhi,Swiggy,High,48,3,1,4,54,0.89,Medium
Bengaluru,Zomato,Medium,25,2,6,7,24,0.78,Low
Delhi,Swiggy,High,53,3,4,3,52,0.66,Medium
Pune,Zomato,High,53,6,6,1,29,0.49,Medium
Mumbai,Swiggy,Low,40,3,3,7,4,0.64,Medium
Mumbai,Swiggy,High,23,5,9,5,27,0.64,Medium
Hyderabad,Zomato,High,40,2,1,5,58,0.72,Medium
Delhi,Zomato,Medium,33,4,10,10,42,0.67,Medium
Bengaluru,Zomato,High,76,2,2,1,35,0.6,Medium
Delhi,Zomato,Low,52,4,5,9,22,0.85,Medium
Delhi,Swiggy,Low,70,4,10,5,16,0.9,Medium
Bengaluru,Zomato,High,27,5,1,6,17,0.78,Medium
Bengaluru,Swiggy,Low,61,0,8,5,37,0.84,Medium
Pune,Zomato,High,71,5,10,10,46,0.94,High
Hyderabad,Swiggy,Medium,38,5,10,3,46,0.63,Medium
Delhi,Swiggy,Medium,57,1,6,8,7,0.49,Medium
Pune,Zomato,Low,23,3,3,8,14,0.67,Low
Bengaluru,Zomato,Medium,53,6,7,5,38,0.7,Medium
Pune,Zomato,Medium,80,3,7,3,10,0.7,Medium
Pune,Zomato,Low,65,4,9,2,45,0.53,Medium
Pune,Swiggy,High,80,4,6,2,39,0.91,Medium
Mumbai,Swiggy,Medium,38,0,9,3,8,0.62,Medium
Bengaluru,Zomato,Low,21,6,3,3,51,0.75,Low
Mumbai,Zomato,High,33,1,8,1,8,0.73,Medium
Mumbai,Swiggy,Medium,56,2,10,8,58,0.6,High
Pune,Zomato,High,73,4,3,3,33,0.78,Medium
Pune,Zomato,Low,66,2,2,10,43,0.77,Medium
Pune,Swiggy,High,41,4,1,8,48,0.57,Medium
Mumbai,Swiggy,High,56,5,5,9,42,0.47,High
Hyderabad,Swiggy,Low,59,4,10,1,37,0.71,Medium
Pune,Swiggy,Low,79,4,3,1,18,0.87,Low
Delhi,Zomato,Low,54,4,6,7,38,0.43,Medium
Mumbai,Zomato,Medium,46,0,9,6,25,0.55,Medium
Mumbai,Swiggy,Medium,38,1,3,5,50,0.45,Medium
Bengaluru,Zomato,Medium,23,4,6,3,2,0.83,Medium
Bengaluru,Zomato,Low,29,3,6,5,25,0.96,Low
Mumbai,Swiggy,Low,68,4,10,4,32,0.71,Medium
Hyderabad,Zomato,High,37,0,6,8,36,0.64,Medium
Pune,Swiggy,Medium,34,0,5,9,38,0.81,Low
Delhi,Swiggy,Medium,46,3,2,9,14,0.87,Medium
Delhi,Zomato,Medium,30,6,4,9,28,0.98,Medium
Hyderabad,Zomato,Low,72,3,10,5,42,0.98,Medium
Mumbai,Swiggy,High,50,2,10,5,54,0.81,Medium
Bengaluru,Swiggy,Medium,52,2,1,3,48,0.72,Low
Mumbai,Zomato,Low,64,0,3,9,18,0.93,Medium
Delhi,Zomato,High,80,2,5,8,18,0.55,High
Bengaluru,Zomato,Low,58,2,1,3,42,0.95,Low
Hyderabad,Zomato,Low,20,5,3,7,36,0.94,Low
Pune,Zomato,Medium,70,5,2,9,2,0.94,Medium
Pune,Swiggy,Medium,72,3,10,6,25,0.51,Medium
Mumbai,Swiggy,Medium,79,1,8,1,15,0.85,Medium
Bengaluru,Zomato,Low,72,4,5,4,15,0.99,Medium
Bengaluru,Swiggy,Low,77,5,10,4,1,0.52,Medium
Pune,Swiggy,High,56,4,8,3,36,0.52,High
Hyderabad,Swiggy,Low,28,5,2,3,17,0.96,Low
Delhi,Zomato,Low,63,0,9,10,17,0.81,Medium
Pune,Swiggy,High,61,5,1,6,28,0.91,Medium
Pune,Zomato,Low,53,3,8,6,34,0.86,Medium
Delhi,Swiggy,Low,46,4,8,6,1,0.64,Medium
Bengaluru,Swiggy,High,71,0,4,7,5,0.95,Medium
Delhi,Swiggy,Medium,24,5,2,1,31,0.66,Low
Mumbai,Zomato,High,35,0,8,4,22,0.9,Medium
Bengaluru,Swiggy,High,69,4,10,8,49,0.46,High
Pune,Swiggy,Low,23,0,7,6,57,0.91,Low
Mumbai,Swiggy,Low,71,3,1,5,40,0.78,Medium
Mumbai,Swiggy,Medium,55,0,5,7,26,0.46,Medium
Pune,Swiggy,High,70,5,10,1,30,0.63,Medium
Pune,Swiggy,Medium,80,5,1,8,34,0.6,Medium
Delhi,Swiggy,Low,58,5,2,10,51,0.9,Medium
Hyderabad,Swiggy,Medium,36,2,7,8,47,0.77,Medium
Delhi,Swiggy,Low,22,0,3,5,38,0.66,Low
Bengaluru,Zomato,Medium,54,6,3,3,31,0.59,Medium
Bengaluru,Zomato,Medium,20,4,10,3,4,0.54,Medium
Hyderabad,Swiggy,Medium,32,1,4,2,22,0.51,Low
Pune,Zomato,Medium,41,6,10,10,22,0.77,Medium
Pune,Zomato,Low,49,6,1,8,15,0.95,Medium
Delhi,Swiggy,Medium,33,1,8,6,52,0.84,Medium
Delhi,Zomato,Low,20,2,1,2,23,0.42,Low
Mumbai,Swiggy,Low,32,5,10,6,3,0.99,Medium
Delhi,Swiggy,Low,34,2,3,6,55,0.73,Low
Delhi,Swiggy,Low,73,2,2,1,54,0.81,Low
Pune,Swiggy,Medium,33,2,8,4,24,0.89,Low
Delhi,Zomato,High,24,0,3,3,51,0.51,Low
Hyderabad,Zomato,Medium,40,4,7,4,59,0.43,Medium
Hyderabad,Swiggy,High,38,6,3,6,16,0.43,Medium
Bengaluru,Swiggy,High,57,3,4,2,51,0.68,Medium
Hyderabad,Swiggy,Low,44,6,9,6,32,0.71,Medium
Delhi,Zomato,High,53,5,8,8,31,0.56,High
Pune,Swiggy,Low,77,1,8,4,26,0.53,Medium
Pune,Zomato,Medium,79,6,6,5,36,0.45,Medium
Mumbai,Zomato,Medium,42,1,10,1,30,0.71,Medium
Bengaluru,Zomato,Medium,47,3,6,8,21,0.56,Medium
Mumbai,Swiggy,Medium,36,5,2,6,58,0.45,Medium
Hyderabad,Swiggy,High,79,1,2,2,5,0.62,Medium
Hyderabad,Swiggy,Medium,63,2,5,5,48,0.89,Medium
Bengaluru,Swiggy,High,28,6,9,5,1,0.86,Medium
Bengaluru,Zomato,High,45,3,10,1,31,0.79,Medium
Delhi,Zomato,Low,66,5,4,8,15,0.71,Medium
Hyderabad,Zomato,High,49,2,2,6,55,0.51,Medium
Pune,Swiggy,Medium,74,4,1,6,9,0.75,Medium
Delhi,Zomato,High,20,3,6,6,15,0.65,Medium
Pune,Zomato,Medium,21,4,1,3,10,0.99,Low
Bengaluru,Zomato,High,33,3,2,9,25,0.51,Medium
Mumbai,Zomato,Medium,48,5,5,2,11,0.46,Medium
Hyderabad,Swiggy,Low,64,4,8,1,12,0.52,Medium
Pune,Zomato,Low,38,5,9,2,30,0.43,Medium
Hyderabad,Swiggy,Low,75,3,7,3,8,0.48,Medium
Pune,Zomato,High,44,6,4,3,56,0.52,Medium
Pune,Zomato,Low,56,2,10,4,33,0.83,Medium
Pune,Zomato,Low,29,3,2,7,39,0.88,Low
Hyderabad,Zomato,High,76,3,8,8,37,0.42,High
Mumbai,Zomato,Medium,78,3,6,5,26,0.77,Medium
Delhi,Zomato,Low,77,4,7,8,25,0.95,Medium
Delhi,Swiggy,Medium,80,0,4,3,18,0.93,Low
Hyderabad,Zomato,Medium,24,5,4,8,27,1.0,Medium
Hyderabad,Swiggy,High,24,6,2,9,50,0.87,Medium
Pune,Zomato,Low,33,4,1,8,2,0.44,Medium
Pune,Zomato,Medium,45,6,4,7,3,0.41,Medium
Mumbai,Swiggy,Medium,67,3,8,8,5,0.45,High
Delhi,Zomato,Low,72,2,3,3,54,0.41,Medium
Mumbai,Swiggy,Low,54,5,7,3,5,0.8,Medium
Mumbai,Zomato,Low,42,1,4,1,58,0.81,Low
Delhi,Zomato,Medium,73,5,9,2,25,0.81,Medium
Pune,Swiggy,Medium,23,6,7,4,60,0.55,Medium
Delhi,Swiggy,Low,46,0,1,6,53,0.52,Low
Mumbai,Swiggy,High,26,6,3,3,3,0.65,Medium
Mumbai,Zomato,Medium,60,1,10,4,60,0.73,Medium
Pune,Swiggy,Low,26,2,6,3,1,0.64,Low
Bengaluru,Swiggy,Medium,49,1,2,5,42,0.77,Low
Mumbai,Swiggy,High,46,2,10,8,7,0.83,High
Hyderabad,Swiggy,Low,26,4,6,7,44,0.95,Low
Delhi,Zomato,Low,68,5,6,8,5,0.6,High
Hyderabad,Zomato,Medium,60,5,4,9,38,0.82,Medium
Mumbai,Swiggy,Low,68,0,5,4,48,0.66,Low
Delhi,Swiggy,Low,43,3,5,4,10,0.63,Low
Mumbai,Swiggy,High,58,3,6,3,18,0.59,Medium
Mumbai,Zomato,Medium,38,6,1,4,55,0.84,Medium
Bengaluru,Swiggy,Low,23,5,4,4,39,0.92,Low
Hyderabad,Zomato,Low,60,0,2,8,5,0.97,Medium
Mumbai,Swiggy,High,28,0,3,10,36,0.9,Medium
Delhi,Swiggy,Medium,47,5,8,5,11,0.83,Medium
Delhi,Zomato,Low,35,2,5,10,29,0.98,Medium
Delhi,Zomato,High,50,0,6,7,25,0.5,Medium
Pune,Zomato,Medium,67,3,3,8,2,0.86,Medium
Pune,Swiggy,High,78,2,10,9,10,0.73,High
Delhi,Zomato,Medium,39,3,5,7,36,0.76,Medium
Mumbai,Zomato,Low,50,1,3,4,1,0.41,Low
Hyderabad,Zomato,Medium,79,3,7,6,25,0.69,Medium
Hyderabad,Swiggy,Medium,22,0,7,10,11,0.52,Medium
Pune,Zomato,High,68,5,6,9,46,0.69,High
Bengaluru,Swiggy,Medium,79,3,4,4,31,0.42,Medium
Bengaluru,Swiggy,Medium,61,1,5,10,30,0.97,Medium
Delhi,Zomato,Low,57,5,3,1,8,0.86,Medium
Pune,Zomato,High,77,0,9,4,57,0.65,Medium
Pune,Zomato,Medium,52,4,7,10,20,0.84,Medium
Mumbai,Swiggy,Medium,69,6,6,3,18,0.85,Medium
Pune,Zomato,Low,30,6,8,1,7,0.44,Medium
Pune,Zomato,Medium,66,3,3,3,24,0.51,Medium
Delhi,Swiggy,Medium,52,0,8,10,53,0.53,Medium
Delhi,Swiggy,High,71,6,4,5,58,0.92,Medium
Pune,Swiggy,High,30,0,5,2,25,0.47,Low
Mumbai,Zomato,Low,35,3,8,2,1,0.44,Medium
Mumbai,Swiggy,Low,53,6,1,7,39,0.71,Medium
Bengaluru,Zomato,Medium,41,4,7,6,24,0.81,Medium
Bengaluru,Zomato,High,80,2,7,7,40,0.43,Medium
Bengaluru,Zomato,High,20,3,7,3,2,0.76,Medium
Hyderabad,Zomato,High,68,6,4,6,29,0.77,Medium
Pune,Zomato,Medium,20,5,6,1,41,0.62,Low
Mumbai,Zomato,Medium,34,4,8,7,48,0.77,Medium
Mumbai,Zomato,Medium,79,3,2,7,19,0.76,Medium
Delhi,Swiggy,Low,70,0,5,9,56,0.68,Medium
Pune,Swiggy,Medium,54,1,4,4,11,0.85,Low
Mumbai,Swiggy,Medium,65,0,3,6,58,0.63,Medium
Bengaluru,Swiggy,High,62,3,2,3,60,0.72,Medium
Pune,Swiggy,High,41,6,4,10,50,0.95,Medium
Mumbai,Zomato,Medium,65,5,7,9,55,0.66,High
Delhi,Swiggy,Low,38,0,2,2,22,0.84,Low
Delhi,Swiggy,Medium,28,6,6,7,37,0.84,Medium
Bengaluru,Swiggy,Medium,32,6,7,7,21,0.86,Medium
Delhi,Swiggy,Low,20,4,8,6,10,0.89,Medium
Bengaluru,Swiggy,Medium,49,1,10,5,10,0.85,Medium
Mumbai,Zomato,Medium,64,0,5,10,31,0.78,Medium
Delhi,Zomato,Low,44,0,6,3,53,0.83,Low
Delhi,Swiggy,High,69,1,8,7,20,0.99,Medium
Delhi,Swiggy,Medium,41,3,8,6,49,0.63,Medium
Mumbai,Zomato,Low,79,1,9,7,7,0.48,Medium
Hyderabad,Swiggy,High,65,2,8,3,37,0.48,Medium
Pune,Zomato,High,33,1,4,1,24,0.84,Low
Hyderabad,Swiggy,Medium,74,1,7,7,44,0.9,Medium
Mumbai,Swiggy,Medium,50,1,1,2,33,0.79,Low
Hyderabad,Zomato,High,60,5,7,4,3,0.47,High
Pune,Zomato,Medium,58,1,7,2,50,0.68,Low
Pune,Zomato,Medium,48,2,1,2,8,0.45,Low
Pune,Swiggy,Low,56,4,8,5,45,0.85,Medium
Hyderabad,Swiggy,Medium,61,5,7,5,37,0.48,Medium
Bengaluru,Swiggy,High,75,6,9,3,26,0.89,Medium
Mumbai,Zomato,Medium,54,6,9,8,5,0.71,High
Hyderabad,Swiggy,High,33,5,2,3,56,0.76,Low
Delhi,Swiggy,Medium,71,2,2,1,9,0.75,Medium
Delhi,Swiggy,Medium,74,6,1,2,8,0.7,Medium
Bengaluru,Swiggy,Medium,80,5,1,4,20,0.43,Medium
Hyderabad,Zomato,Medium,48,1,10,8,45,0.59,Medium
Bengaluru,Swiggy,Medium,62,6,1,4,3,0.51,Medium
Bengaluru,Swiggy,High,58,4,4,10,23,0.57,High
Hyderabad,Zomato,Low,36,2,7,3,26,0.67,Low
Bengaluru,Zomato,High,29,4,4,2,41,0.84,Low
Delhi,Zomato,Medium,61,6,9,10,11,0.65,High
Delhi,Zomato,High,47,3,1,10,16,0.45,Medium
Mumbai,Swiggy,Medium,46,0,6,2,24,0.95,Low
Bengaluru,Swiggy,High,34,2,1,2,25,0.99,Low
Delhi,Zomato,High,70,0,3,9,47,0.93,Medium
Hyderabad,Zomato,Low,42,5,10,5,36,0.56,Medium
Mumbai,Swiggy,Low,80,6,7,3,23,0.88,Medium
Hyderabad,Zomato,Medium,28,2,1,9,46,0.49,Medium
Delhi,Swiggy,Medium,67,2,1,6,46,0.87,Medium
Hyderabad,Zomato,High,31,3,6,8,33,0.57,Medium
Pune,Swiggy,Medium,74,0,5,7,50,0.59,Medium
Mumbai,Swiggy,Low,35,0,3,10,4,0.45,Medium
Bengaluru,Zomato,High,20,3,9,3,31,0.7,Medium
Hyderabad,Swiggy,Medium,59,1,1,7,45,0.72,Low
Bengaluru,Swiggy,High,62,6,9,10,3,0.76,High
Delhi,Swiggy,Low,43,6,3,9,23,0.97,Medium
Pune,Zomato,Medium,43,0,6,4,54,0.72,Low
Mumbai,Zomato,Low,38,2,4,1,48,0.78,Low
Pune,Swiggy,High,79,5,9,1,60,0.68,Medium
Hyderabad,Zomato,Low,20,4,8,6,20,0.61,Medium
Mumbai,Zomato,High,31,3,6,1,7,0.66,Medium
Delhi,Swiggy,Medium,77,1,7,2,59,0.69,Medium
Delhi,Zomato,Low,45,2,5,6,28,0.94,Medium
Hyderabad,Zomato,Low,48,5,8,3,9,0.61,Medium
Pune,Swiggy,Medium,75,5,4,2,13,0.57,Medium
Delhi,Zomato,Medium,41,0,3,4,31,0.98,Low
Bengaluru,Swiggy,Medium,55,3,3,6,49,0.86,Medium
Pune,Zomato,Low,26,6,1,3,10,0.61,Low
Mumbai,Swiggy,Low,73,2,7,10,48,0.4,Medium
Pune,Zomato,Low,25,6,7,4,40,0.49,Low
Hyderabad,Swiggy,Low,69,0,5,4,43,0.89,Low
Delhi,Zomato,High,71,0,9,10,12,0.51,High
Hyderabad,Swiggy,Low,28,3,1,5,13,0.96,Low
Pune,Swiggy,Medium,25,6,1,7,27,0.71,Low
Delhi,Swiggy,Medium,50,0,9,7,42,0.43,Medium
Mumbai,Zomato,Medium,80,2,7,4,21,0.94,Medium
Delhi,Swiggy,Low,62,5,6,4,19,0.68,Medium
Hyderabad,Swiggy,Medium,36,3,6,6,20,0.47,Medium
Mumbai,Swiggy,Medium,67,6,6,10,34,0.76,High
Delhi,Zomato,Low,44,0,2,3,41,0.85,Low
Mumbai,Swiggy,Medium,78,5,4,4,46,0.67,Medium
Mumbai,Swiggy,High,59,2,5,8,49,0.52,High
Delhi,Swiggy,Low,46,4,5,9,23,0.94,Medium
Pune,Swiggy,High,24,3,7,9,60,0.97,Medium
Mumbai,Swiggy,Medium,64,1,5,1,37,0.44,Medium
Delhi,Zomato,Medium,54,6,9,2,11,0.66,Medium
Hyderabad,Zomato,Medium,44,3,10,5,14,0.51,Medium
Delhi,Swiggy,Medium,20,6,9,8,33,0.82,Medium
Hyderabad,Zomato,Medium,34,2,5,9,8,0.5,Medium
Mumbai,Swiggy,Low,60,1,5,3,18,0.92,Low
Mumbai,Swiggy,High,33,4,2,1,42,0.61,Medium
Hyderabad,Zomato,Medium,80,5,9,5,47,0.48,High
Hyderabad,Zomato,Medium,23,5,1,6,15,0.84,Low
Bengaluru,Swiggy,Low,21,4,10,2,47,0.85,Low
Pune,Zomato,High,60,4,9,4,53,0.67,Medium
Bengaluru,Zomato,Low,60,6,7,3,29,0.54,Medium
Pune,Zomato,Low,50,0,8,3,30,0.51,Low
Delhi,Swiggy,Medium,80,5,3,5,2,0.59,High
Delhi,Zomato,Medium,32,0,3,2,28,0.55,Low
Pune,Swiggy,High,28,5,1,10,7,0.63,Medium
Mumbai,Swiggy,High,68,6,1,3,16,0.86,Medium
Bengaluru,Swiggy,High,58,0,1,2,35,0.84,Low
Bengaluru,Swiggy,Low,50,6,10,8,53,0.5,Medium
Bengaluru,Zomato,Low,23,4,5,9,8,0.41,Medium
Mumbai,Swiggy,Medium,26,4,7,3,1,0.95,Medium
Mumbai,Swiggy,Medium,29,2,5,4,59,0.93,Low
Pune,Swiggy,Medium,27,1,2,5,23,0.45,Low
Bengaluru,Swiggy,Medium,79,0,1,10,10,0.51,Medium
Hyderabad,Zomato,Medium,63,3,3,5,40,0.89,Medium
Bengaluru,Swiggy,Low,51,5,6,5,52,0.94,Medium
Mumbai,Swiggy,High,29,6,3,6,10,0.63,Medium
Pune,Swiggy,Low,47,5,5,3,6,0.59,Medium
Delhi,Swiggy,High,42,2,8,7,31,0.82,Medium
Pune,Zomato,Low,80,5,4,7,27,0.73,Medium
Hyderabad,Zomato,Medium,72,1,7,2,38,0.83,Low
Hyderabad,Swiggy,High,35,2,1,4,55,0.41,Medium
Hyderabad,Zomato,High,78,0,1,6,24,0.91,Medium
Delhi,Zomato,Medium,73,6,9,7,16,0.53,High
Delhi,Swiggy,High,27,5,3,7,47,0.42,Medium
Pune,Zomato,Low,26,5,10,2,31,0.9,Low
Delhi,Swiggy,Low,29,0,4,2,1,0.74,Low
Pune,Swiggy,High,50,5,3,9,45,0.97,Medium
Pune,Zomato,High,48,6,1,5,8,0.49,Medium
Mumbai,Swiggy,Medium,20,3,7,8,36,0.83,Medium
Bengaluru,Zomato,High,47,1,5,2,34,0.63,Low
Delhi,Swiggy,Medium,23,1,7,3,53,0.85,Low
Hyderabad,Swiggy,High,49,3,6,7,53,0.63,Medium
Mumbai,Zomato,Medium,32,2,2,2,5,0.62,Low
Bengaluru,Swiggy,Low,30,4,2,2,14,0.76,Low
Bengaluru,Swiggy,Medium,60,0,4,5,6,0.99,Medium
Hyderabad,Swiggy,Medium,70,3,1,1,21,0.46,Medium
Bengaluru,Swiggy,High,68,2,7,9,13,0.59,High
Pune,Zomato,High,64,5,2,6,27,0.94,Medium
Hyderabad,Swiggy,Medium,69,1,1,10,51,0.63,Medium
Hyderabad,Swiggy,Low,29,5,8,2,57,0.78,Low
Delhi,Swiggy,High,61,1,3,9,34,1.0,Medium
Hyderabad,Zomato,Medium,28,2,5,6,40,0.91,Low
Pune,Swiggy,High,69,5,7,4,14,1.0,Medium
Hyderabad,Swiggy,High,56,5,8,2,52,0.41,High
Bengaluru,Swiggy,Medium,49,2,3,5,11,0.44,Medium
Hyderabad,Zomato,Medium,24,1,8,5,31,0.99,Low
Pune,Swiggy,High,56,3,1,6,55,0.57,Medium
Pune,Swiggy,Medium,52,6,10,6,24,0.45,Medium
Pune,Zomato,Low,76,5,1,10,42,0.43,Medium
Delhi,Swiggy,Low,26,2,7,3,37,0.64,Low
Mumbai,Swiggy,Medium,49,5,2,6,30,0.68,Medium
Hyderabad,Zomato,Low,31,5,2,7,50,0.66,Low
Pune,Zomato,Low,41,4,8,4,45,0.84,Medium
Mumbai,Zomato,Medium,54,1,8,3,41,0.53,Medium
Hyderabad,Swiggy,High,69,3,1,6,51,0.66,Medium
Pune,Swiggy,Low,75,0,7,5,17,0.78,Low
Mumbai,Swiggy,Low,45,0,5,8,56,0.65,Medium
Delhi,Zomato,Low,23,0,7,6,49,0.58,Low
Delhi,Zomato,High,50,3,9,3,45,0.66,Medium
Hyderabad,Zomato,High,55,6,10,4,5,0.83,High
Hyderabad,Swiggy,Medium,72,5,6,1,10,0.94,Medium
Delhi,Zomato,High,27,6,7,5,34,0.83,Medium
Pune,Swiggy,Medium,60,4,2,1,14,0.85,Medium
Delhi,Zomato,Medium,69,1,10,7,14,0.61,Medium
Delhi,Swiggy,Medium,43,0,5,5,33,0.89,Medium
Mumbai,Zomato,Medium,49,3,7,6,23,0.9,Medium
